Humidity,Temperature,LDR,Weather
69,34.2,68,Sunny
69,34.2,68,Sunny
69,34.2,72,Sunny
69,34.2,69,Sunny
69,34.2,69,Sunny
69,34.3,68,Sunny
69,34.7,68,Sunny
68,34.6,65,Sunny
68,34.7,78,Sunny
68,34.7,84,Sunny
68,34.7,78,Sunny
69,34.7,81,Sunny
69,34.7,82,Sunny
69,34.2,80,Sunny
69,34.2,81,Sunny
69,34.2,81,Sunny
69,34.2,81,Sunny
69,34.2,84,Sunny
70,34.2,82,Sunny
68,33.8,85,Sunny
68,33.7,82,Sunny
68,33.7,86,Sunny
68,33.7,84,Sunny
68,33.7,86,Sunny
69,33.7,85,Sunny
69,33.7,85,Sunny
69,33.7,85,Sunny
69,33.7,86,Sunny
69,33.7,86,Sunny
69,33.7,84,Sunny
69,33.7,85,Sunny
69,33.7,84,Sunny
69,33.7,76,Sunny
69,33.7,74,Sunny
69,33.7,78,Sunny
69,33.7,75,Sunny
69,33.7,68,Sunny
69,33.8,68,Sunny
69,33.7,69,Sunny
69,33.7,69,Sunny
69,33.7,68,Sunny
69,33.7,68,Sunny
69,33.7,67,Sunny
69,33.7,66,Sunny
69,33.7,75,Sunny
69,33.9,75,Sunny
69,34.2,69,Sunny
69,34.2,67,Sunny
69,34.2,66,Sunny
69,34.2,66,Sunny
68,34.2,67,Sunny
68,34.2,67,Sunny
69,34.2,68,Sunny
69,34.2,65,Sunny
69,34.3,66,Sunny
69,34.7,65,Sunny
69,34.7,64,Sunny
69,34.7,63,Sunny
69,34.7,65,Sunny
69,34.7,68,Sunny
69,34.7,66,Sunny
69,34.7,67,Sunny
69,34.7,67,Sunny
69,34.7,67,Sunny
69,34.7,65,Sunny
69,34.4,68,Sunny
69,34.4,69,Sunny
69,34.4,68,Sunny
69,34.4,69,Sunny
69,34.4,70,Sunny
69,34.4,68,Sunny
69,34.4,70,Sunny
69,34.4,73,Sunny
69,34.4,70,Sunny
69,34.4,74,Sunny
69,34.4,69,Sunny
69,34.4,73,Sunny
69,34.4,69,Sunny
69,34.7,69,Sunny
69,34.3,68,Sunny
69,34.2,68,Sunny
69,34.2,68,Sunny
69,34.3,67,Sunny
69,34.7,68,Sunny
69,34.7,68,Sunny
69,34.7,68,Sunny
69,34.7,68,Sunny
69,34.7,68,Sunny
69,34.4,68,Sunny
69,34.7,67,Sunny
69,34.7,67,Sunny
69,34.4,67,Sunny
69,34.4,72,Sunny
69,34.4,69,Sunny
69,34.4,66,Sunny
69,34.4,67,Sunny
69,34.4,67,Sunny
68,34.4,67,Sunny
68,34.4,69,Sunny
68,34.4,67,Sunny
69,34.4,69,Sunny
69,34.4,68,Sunny
69,34.4,67,Sunny
69,34.4,68,Sunny
69,34.4,68,Sunny
68,34.4,67,Sunny
68,34.4,65,Sunny
68,34.4,66,Sunny
68,34.4,67,Sunny
68,34.4,67,Sunny
68,34.4,65,Sunny
68,34.4,67,Sunny
68,34.4,65,Sunny
68,34.4,69,Sunny
68,34.4,69,Sunny
68,34.4,65,Sunny
68,34.4,67,Sunny
68,34.4,65,Sunny
68,34.4,62,Sunny
68,34.4,64,Sunny
68,34.4,64,Sunny
67,34.4,62,Sunny
67,34.4,64,Sunny
67,34.4,62,Sunny
67,34.4,61,Sunny
67,34.4,62,Sunny
67,34.4,62,Sunny
67,34.6,64,Sunny
67,34.9,65,Sunny
67,34.9,64,Sunny
67,34.9,65,Sunny
67,34.9,63,Sunny
67,34.9,63,Sunny
67,34.9,63,Sunny
67,34.9,63,Sunny
66,34.9,64,Sunny
66,34.9,65,Sunny
66,34.9,65,Sunny
65,34.9,63,Sunny
65,34.9,63,Sunny
65,34.9,62,Sunny
65,34.9,61,Sunny
65,34.9,60,Sunny
66,34.9,62,Sunny
66,34.9,58,Sunny
66,34.9,61,Sunny
65,34.9,60,Sunny
65,35,60,Sunny
65,35.5,62,Sunny
65,35.5,61,Sunny
65,35.4,60,Sunny
65,35.4,58,Sunny
64,35.1,57,Sunny
64,35,60,Sunny
64,35,61,Sunny
64,35,61,Sunny
65,35,61,Sunny
65,35,60,Sunny
65,35,60,Sunny
65,35,60,Sunny
65,35.2,61,Sunny
65,35.1,58,Sunny
65,35,61,Sunny
65,35,62,Sunny
65,35,61,Sunny
65,35,61,Sunny
65,35,58,Sunny
65,35,62,Sunny
65,35,62,Sunny
65,35,61,Sunny
65,35,64,Sunny
65,35,60,Sunny
65,35,60,Sunny
65,35,62,Sunny
65,35,62,Sunny
65,35,62,Sunny
65,35,60,Sunny
65,35,62,Sunny
65,35,62,Sunny
65,35,61,Sunny
65,35,61,Sunny
65,35,60,Sunny
65,35,56,Sunny
65,35,60,Sunny
65,35,58,Sunny
65,35,57,Sunny
65,35,58,Sunny
65,35,60,Sunny
65,35,55,Sunny
65,35,57,Sunny
64,35,57,Sunny
64,35,57,Sunny
64,35,55,Sunny
65,35,58,Sunny
64,35,57,Sunny
65,35.4,57,Sunny
64,35.7,55,Sunny
64,35.7,57,Sunny
64,35.7,56,Sunny
64,35.7,57,Sunny
